Balík Miroslav,2025 LS,FALSE,AG1,"Časová a paměťová složitost algoritmů. Algoritmy vyhledávání (sekvenční, půlením intervalu), slučování a řazení (BubbleSort, SelectSort, InsertSort, MergeSort, QuickSort). Dolní mez složitosti řazení v porovnávacím modelu. Řazení v lineárním čase. Zaměření: Definujte asymptotickou složitost. Definujte vztahy Omikron, Omega, Theta. Vyberte si jeden z algoritmů BubbleSort, InsertSort, SelectSort a jeden z Merge sort, QuickSort, popište je a jejich asymptotickou časovou a prostorovou složistost.  ",,,
Vogel Josef,2025 LS,FALSE,AG1,"Základní pojmy teorie grafů. Grafové algoritmy: procházení grafu do šířky, určení souvislých komponent, topologické uspořádání, vzdálenosti v grafech, konstrukce minimální kostry a nejkratších cest v ohodnoceném grafu.
Zaměření: BFS, DFS",A,"Napsal jsem pseudokód obou algoritmů, asi ne úplně ideálně ale s tou hlavní myšlenkou, což mu stačilo. Chyběla mi tam mapa předchůdců, takže se ptal, jak jde BFS využít pro rekonstrukci nejkratší cesty",
Balík Miroslav,2025 LS,FALSE,AG1,"Časová a paměťová složitost algoritmů. Algoritmy vyhledávání (sekvenční, půlením intervalu), slučování a řazení (BubbleSort, SelectSort, InsertSort, MergeSort, QuickSort). Dolní mez složitosti řazení v porovnávacím modelu. Řazení v lineárním čase.",B,"Jednalo se o zaměření na výběr a popis jednoho z kvadratických a jednoho ze dvojice merge/quick. Poté také na notaci omikron, omega, theta, víc je potom napsáno ve zkušenostech",
Tvrdík Pavel,2024 LS,FALSE,AG1,"Binární haldy, binomiální haldy",B,,
Tomáš Valla,2025 LS,TRUE,AG2,"Vyšší souvislost grafů, vrcholová, hranová a jejich vztahy, Mengerova věta. Mosty, silně souvislé komponenty orientovaného grafu a jejich hledání. Toky v sítích, vztah velikosti toku a kapacity řezu, Fordův-Fulkersonův algoritmus. Párování, hledání maximálního párování v bipartitním grafu, Hallova věta a její důsledky. Zaměřte se na toky, související pojmy a hlavní větu o tocích, naznačte důkaz.",A,"Pojmy jsem zavedl bez problémů, v důkazu se trochu nelíbil druhý směr, kdy jsem dostatečně rigorózně neukázal, jak najdeme řez nasyceného toku. Nicméně Valla byl úplně v pohodě a když viděl, že se nechápeme, ale vim, jak důkaz funguje, tak mě pustil.",
Valla Tomáš,2025 LS,TRUE,AG2,"Eulerovský tah, charakterizace eulerovských grafů, minimální pokrytí tahy. Hamiltonovská kružnice, Chvátalův uzávěr, Bondyho-Chvátalova věta. Problém obchodní cestující, aproximační algoritmus. Zaměření: Hamiltonovská kružnice, Chvátalův uzávěr, Bondyho-Chvátalova věta včetně hrubého náznaku důkazu. ",A,,
Buček,2025 LS,TRUE,APS,Inštrukčný cyklus a zřetezená mikroarchitektura,B,"Dopýtaval sa čo sa deje v MEM a WB fáze, potom sa pýtal na CPI a kolko CPI ma zreťazená",
Buček Jiří ,2025 LS,TRUE,APS,"Paměťová hierarchie se skrytou pamětí (cache memory), principy lokality a fungování skryté paměti. Architektura přímé, částečně asociativní, plně asociativní skryté paměti.",A,"Popsal jsem cca 2 a půl stránky, napsal jsem vše, co jsem věděl. Podtrhl mi jen nějaké špatné vyjádření. Napsal jsem to relativně dost detailně, takže vlastně ani nebylo na co se dál ptát.",
Miškovský Vojtěch ,2025 LS,TRUE,ASB,"Zabezpečení WiFi: WEP, WPA, WPA2 , WPA3",B,"Totálně jsem zapomněl jakým způsobem probíhá ověření integrity u všech protokolů, popsal jsem Basic věci jako WEP - RC4 + krátký inicializační vektor, WPA - zabalení WEPu , WPA2 - popsal jsem přibližně jak vypadá generace PTK a popsal jsem, že MIC je závislý na klíči, proto je možné provést Brute Force útok offline, u WPA3 jsem jenom řekl, že používá dragonfly aby pořesila tenhle problém",
Dostál Jiří,2024 LS,TRUE,ASB,"LAN z hlediska kybernetické bezpečnosti. Zranitelnosti protokolů rodiny TCP/IP. Zabezpečení sítí LAN na úrovni síťových zařízení (switche, routery, firewally). Využití technologie VLAN. ",B,"Popsal jsem příklady zranitelností, z čeho plynou a jak by se mohly řešit. K VLAN jsem popsal princip fungování a k čemu to je z hlediska bezpečnosti dobré. Nechytal jsem se, když se mě pan Dostál ptal na to, čím ten provoz na VLANách vlastně dokážeme oddělit - nakonec jsme se dostali k tomu, že chtěl slyšet ACL.",
Kokeš Josef,2025 LS,TRUE,BEK,Zranitelnosti typu injection.,A,"Popsal jsem jednotlivé typy injection: SQL injection (i blind), file inclusion, XSS a obrany proti nim. Jediné, co chtěl podrobněji vysvětlit, bylo, jaký rozdíl udělají parametrizované dotazy v SQL injection, a co znamená obrana pomocí nepřímých odkazů ve file inclusion.",
Kokeš Josef,2025 LS,TRUE,BEK,"Zranitelnosti desktopových aplikací: Přetečení bufferu, DLL hijacking, chyby v C. Bez bližší specifikace.",,,
Prágl Miroslav,2025 LS,FALSE,DBS,"Transakce a jejich vlastnosti - ACID; plus otázka, co se stane, když serveru vypadne proud a jaké jsou mechanismy obnovy",A,,
Prágl Miroslav,2025 LS,FALSE,DBS,"Relační databáze, dotazování v relační algebře, základní koncepce jazyka SQL (SELECT, DDL, DML, DCL, TCL), vyjádření integritních omezení v DDL. Upřesnění: Popis vazeb v databázi, příklad SELECT dotazu (typy JOIN)",,,
Borkovcová Monika,2025 LS,FALSE,DBS,"Relační databáze, dotazování v relační algebře, základní koncepce jazyka SQL (SELECT, DDL, DML, DCL, TCL), vyjádření integritních omezení v DDL. Upřesnění: vysvětlete a popiště relační databázi, relační model dat a jazyk SQL. Soustřeďte se na základní konstrukce daného jazyka (SELECT, DDL, DML, DCL, TCL). Popiště využití integritních omezení v DDL.",A,"Napsal jsem definici relace a databáze, heslovitě popsal SQL (že je to relačně úplný dotazovací jazyk, z jakých komponent se skládá, ...) a pak ke každýmu jazyku napsal co znamená ta zkratka, v jedný nebo dvou větách k čemu slouží a dál přiklad jednoho nebo dvou základních příkazů. K integritním omezením jsem jen napsal, že omezují obor hodnot sloupce a pár jich tam vyjmenoval, dál že se mohou kontrolovat v různý čas. Ptala se mě na pár otázek, ani jednu z nich jsem nepochopil, chtěla slyšet něco o join using. Odpověděl jsem na to, jak jsem otázku chápal (většinou blbě), ona mi vždycky řekla správnou odpověď a já ji odkýval.",
Michal Valenta,2025 LS,FALSE,DBS,"Relační databáze, dotazování v relační algebře, základní koncepce jazyka SQL (SELECT, DDL, DML, DCL, TCL), vyjádření integritních omezení v DDL.",A,"Bez zamerania, Valenta mega pohode ale mal som tam asi 3 strany o vsetkom som mu popisal",
Legerský Jan,2025 LS,FALSE,DML,"Malá Fermatova věta, Eulerova věta a související pojmy (Eulerova funkce), ČVOZ",A,"Stačí jen definice, nebyl tam ani příklad. U ČVOZ se zeptal na zobecněnou verzi, kterou nechtěl celou, ale jen v čem je jiná ta podmínka existence řešení.",
Rybníčková Jitka,2024 LS,FALSE,DML,"Zameranie na modulárnu aritmetiku, prvočísla, Malá Fermatova a Eulerova věta, lineární kongruence, Čínská věta o zbytcích.",A,"U kongruencii som vynechal info o nejakých vlastnostiach ako to, že kongruencia implikuje pričítanie čísla ku kongruencii a násobenie kongruencie. P. Rybníčková sa na to dopýtala a bolo to v poriadku. Trochu som zazmätkoval ale upokojila ma a vyšlo to :)",
